question	answer
"Вопрос 1: 26 мая 2003 года в редакции украинского журнала ""Академия власти""
произошел взрыв, сила которого была такова, что женщине, которая сидела
на расстоянии почти 1,5 метра от него, прожгло кофту и обожгло руки, а
на паркете остались черные подпалины. Причины этого происшествия можно
обнаружить и в этом игровом зале, но организаторы выражают надежду, что
все присутствующие, во избежание ВСЕХ неприятностей, выполнили некое
действие, отчет о котором вы и напишите через одну минуту.        "	Ответ: Отключили мобильные телефона или перевели их в режим вибрации.    
"Вопрос 2: Самое большое впечатление детства осталось у НЕГО от посещения ТРАЛА. В
школе ОН закономерно получил кличку ТРАЛ, которую любил и старался
оправдать. В своей книжечке ОН призывает детей быть как ТРАЛ.
Догадайтесь, какое слово зашифровано под словом ТРАЛ, и напишите ЕГО
фамилию.        "	Ответ: Маяковский.    
"Вопрос 3: Журналистка, бравшая интервью у этой актрисы, приехала к ней в родовое
имение ее мужа в удаленном от людских глаз уголке Швейцарских Альп.
Заголовок интервью состоит из имени и фамилии актрисы, слова
""альпийская"" и существительного, в котором автор статьи удвоила одну из
согласных. Напишите слово, получившееся после удвоения.        "	Ответ: ОтШЕЛЛьница.    
"Вопрос 4: Один Нобелевский лауреат по литературе и один английский композитор, не
будучи лично знакомыми друг с другом, создали произведение, которое
известно более 50 миллионам зрителей в 26 странах мира и 300 городах —
от Буэнос-Айреса до Сеула. Причем, что интересно, о какой стране бы мы
ни говорили, а надо заметить, что произведение известно на 10 языках,
везде его знают именно под одним и тем же, непереводимым оригинальным
названием. Каким?        "	"Ответ: ""Cats"".    "
"Вопрос 5: В репортаже программы ""Вести"" на канале РТР рассказывали об одном
питерском заключенном, у которого на свободе родилась дочь. А каким
именем он ее назвал?        "	Ответ: Кристина.    
"Вопрос 6: Благодаря своим качествам он, сражаясь с испанцами, швейцарцами,
англичанами и немцами, проиграл большинство своих сражений, заслужил
знаменитое прозвище и даже сейчас, 500 лет спустя, остается у себя на
родине популярным героем анекдотов. Его имя дало название известному
фортификационному сооружению и марке огнестрельного оружия. Однажды один
из владельцев назвал это оружие ""злосчастным"". Назовите фамилию этого
владельца.        "	Ответ: Груздев.    
"Вопрос 7: Первое из, так сказать, ""андеграундных"" мероприятий, связанное с ним,
имело место 11 октября 1961 г. (хотя появился он раньше), а последнее —
19 октября 1989 г. В его названии присутствует упоминание о некоей
цифре, а также то, что может вызвать отдаленные ассоциации с лечебным
учреждением. Что же это за название?        "	Ответ: Семипалатинск.    
Вопрос 8: Послушайте список, начинающийся со второй позиции:	"    ""Триумфальная арка"""
"Вопрос 10: Побывав в Париже за кулисами высокой моды, журналист ""Натали"" был
поражен суетой и беспорядком, царящими там. Эту неразбериху он назвал
собственным неологизмом, изменив одну букву в соответствующем слове,
так, чтобы ни у кого не осталось сомнений, к какой сфере деятельности
оно относится. Назовите получившийся неологизм.        "	Ответ: КутЮрьма.    
"Вопрос 1: Внимание, вопрос! В словаре можно прочесть, что ЭТО характеризуется
уровнем, объемом, длительностью и устойчивостью, может быть произвольным
и непроизвольным, а основное свойство ЭТОГО — избирательная
направленность. Назовите ЭТО.        "	Ответ: Внимание.    
"Вопрос 2: ИХ коллекционирование старше коллекционирования марок, что
неудивительно, ведь первая из НИХ, как считается, была напечатана еще в
1827 году. Название ИХ коллекционирования образовано от греческого слова
""любить"" и латинского слова ""свет"". Назовите ИХ.        "	Ответ: Спичечные этикетки.    
"Вопрос 3: Древнегреческое имя Дидим и древнееврейское имя Фома переводятся
одинаково. Из этого перевода можно сделать вывод, что ребенок в семье не
единственный. Поставив этот перевод во множественное число, получим то,
до чего, можно сказать, остается меньше двух недель. Напишите этот
перевод.        "	Ответ: Близнецы.    
"Вопрос 4: Мы не знаем точно, какого цвета ОНИ были у Клеопатры и были ли ОНИ у нее
косые. Но известно, что она приказала надушить ИХ благовониями,
отправляясь навстречу плывущему из Рима Марку Антонию. Назовите ИХ.        "	Ответ: Паруса.    
"Вопрос 5: В цитате из сказки ""Золотой ключик"" мы оставили от двух слов-антонимов
только первые буквы. Получилось утверждение о том, что тот, кто
упоминается в этой цитате, ближе к Пьеро и Арлекину, чем к Мальвине. Как
звучит это получившееся утверждение?        "	Ответ: Пациент скорее м, чем ж.    
"Вопрос 6: Для русского ученого она стала причиной смерти, а у группы американцев
она на эмблеме. Перевод ее названия на один из европейских языков даст
вам первое слово следующего вопроса. Напишите это слово.        "	Ответ: Блиц.    
"Вопрос 8: По мнению польской юмористки Магдалены Ковальской, мужчины больше всего
на свете любят заниматься этим. Но из двух заглавных литературных
персонажей, которые занимались этим десятки лет без перерыва, женщина
занималась этим в пять раз дольше, чем мужчина. Назовите этих двух
персонажей.        "	Ответ: Рип ван Винкль и Спящая красавица.    
"Вопрос 1: В этом вопросе ИКС и ИГРЕК заменяют слова-антонимы. Персонаж Артура
Конан-Дойля, отправляясь в Южную Африку и указывая на свой револьвер,
замечает, что у него есть шесть ИКСОВ для всякого, кто решит ему
перечить. Назовите англичанина, чей лирический герой обладал, по его
словам, шестью ИГРЕКАМИ.        "	Ответ: Киплинг.    
"Вопрос 2: Прошедшей осенью молодежные клубы крупных екатеринбургских приходов, а
также православного студенческого братства активно готовились к
соревнованиям. Программа соревнований включала три части. Во второй
нужно было продемонстрировать знание духовных песнопений, в третьей —
раскрыть содержание одной из глав Нового Завета. А как мы обычно
называем первую часть?        "	Ответ: Приветствие.    
"Вопрос 4: В книге Кирилла Разлогова ""Конвейер грез"" приводится биография одного из
многочисленных голливудских кинозлодеев 80-х годов, стандартного ""врага
свободного мира"", международного террориста. Какой не очень-то
воинственный африканец упоминается в начале этой биографии?        "	Ответ: Патрис Лумумба.    
"Вопрос 5: Знаменитый миниатюрист Эдуард Казарян создал стальную модель трактора
высотой около 1,5 мм, водрузив ее на своеобразный постамент — половинку
пшеничного зерна. Однажды с трактором, экспонировавшимся на выставке,
случилась беда: он перевернулся, несмотря на то, что, по заверениям
мастера, был хорошо укреплен. Назовите причину этого казуса.        "	Ответ: Зерно проросло.    
"Вопрос 6: Один из завсегдатаев нью-йоркского ресторана ""У Джона Барри"" говорит,
что здесь, к примеру, можно есть что-нибудь с красным соусом, ничего при
этом не опасаясь. Для кого предназначен этот ресторан?        "	Ответ: Для нудистов.    
"Вопрос 8: Вопрос из области спортивной фалеристики. На значках добровольных
обществ, существовавших в СССР, часто есть лишь одна или несколько букв
из названия: ""ТР"" — ""Трудовые резервы"", ""КС"" — ""Крылья Советов"", ""Т"" —
""Торпедо"". О команде спортивного общества, официальный значок которого
был украшен латинской буквой ""Z"" (""Зет""), одна из КВНовских команд в
начале 90-х пошутила, что жаль не только ""Гурию"" и тбилисское ""Динамо"",
но и ее. Назовите это спортивное общество.        "	"Ответ: ""Жальгирис"".    "
"Вопрос 2: Маугли охарактеризовал ИХ так: ""Это вещи, которые переходят из рук в
руки, но не становятся теплее"". Карлсон признавал как настоящие только
одну ИХ разновидность, а его соотечественники ИХ даже воспели. О чем
идет речь?        "	Ответ: О деньгах.    
"Вопрос 3: Юрдингенская линия проходит через город Юрдинген на Рейне с запада на
восток. Севернее этой линии немцы говорят ""ик"" вместо стандартного
немецкого ""их"", то есть ""я"". По этой причине некоторые лингвисты
считают, что именно эта линия — настоящая ОНА. А вообще-то ОНА проходит
с севера на юг в 20 километрах к западу от Юрдингена. Назовите ЕЕ
абсолютно точно.        "	Ответ: Граница между Германией и Нидерландами.    
"Вопрос 4: В 1885 году в Париж прибыли девятнадцать крестьян из России. Они
добирались до Франции две недели. На них были следы ран, многие едва
передвигали ноги. Но все они упорно шли к цели, ведь ими двигала надежда
на спасение. Всю дорогу они повторяли единственное известное им
французское слово. Какое?        "	Ответ: Пастер.    
"Вопрос 5: Дотошные журналисты постоянно спрашивали их, кто же все-таки успел
раньше. Одного из них уже при жизни изобразили на пятидолларовой
банкноте. Другого многие считали реинкарнацией Будды или Шивы; он не
знал точного дня своего рождения, но после 39 лет всегда отмечал его 29
мая. Что с ним произошло в этот день в возрасте 39 лет?        "	Ответ: Он взошел на Эверест.    
"Вопрос 6: По мнению Дмитрия Быкова, 20 февраля — это всемирный день погони. Ведь
именно 20 февраля 1929 года Лев Троцкий лишился советского гражданства,
и советские спецслужбы объявили на него охоту. А еще в этот день в 1940
году другой лев дал старт еще одной погоне. Назовите ее участников.        "	Ответ: Том и Джерри.    
"Вопрос 8: Арчибальд Хейг, герой рассказа Анджея Сапковского ""Золотой полдень"",
убивал время тем, что занимался психоанализом рассказа другого персонажа
этого же произведения. Более известным, чем имя, было непрофессиональное
прозвище Арчибальда из двух слов. Какое?        "	Ответ: Мартовский Заяц.    
"Вопрос 10: По словам Борхеса, гигантская птица Рух питалась другими, тоже
немаленькими, существами. Приблизительное представление об этих
существах и об их собственном меню можно получить из картины, после
написания которой автор ""отказался от блестящей карьеры художника"" (хотя
ряд его рисунков, созданных уже после этого, многим из нас знаком).
Назовите создателя этих рисунков.        "	Ответ: Антуан де Сент-Экзюпери.    
"Вопрос 1: В городе Гейдельберге существовала тюрьма, куда могли посадить за
провинности некоторых жителей города. Режим в тюрьме был нестрогий, и
она выполняла скорее роль вытрезвителя. Узникам разрешали приносить еду
и отпускали на некоторое время. Куда?        "	Ответ: На лекции.    
"Вопрос 3: Регистрируя свои автомобили, граждане города Бремен ставят в начале
автомобильного номера буквы ""HB"", жители Любека — буквы ""HL"", Ростока —
""HRO"", Висмара — ""HWI"". При этом, разумеется, ""B"" означает ""Бремен"", ""L""
— Любек, ""RO"" — Росток, ""WI"" — Висмар. А что означает буква ""H""?        "	Ответ: Ганзу.    
"Вопрос 4: Русский царь, английский король, австрийская императорская семья — все
коронованные особы хотели видеть ЕГО и этим создали ЕМУ большую рекламу.
Кстати, сами изобретатели для его рекламы использовали делегатов,
прибывших на французский конгресс. Назовите ЕГО.        "	Ответ: Кинематограф.    
"Вопрос 5: В 1577 году в Лондоне вышла брошюра с длинным названием: ""Странное и
ужасное чудо, случившееся совсем недавно в приходе одной церкви в Банги,
городке, что не так далеко от города Нориджа, а именно, четвертого
августа лета Господня 1577-го, во время сильной бури и проливного дождя,
молний и грома, какие редко бывают. С появлением создания ужасной
наружности, которого явственно видели люди, собравшиеся там в тот
момент. Записано и зарисовано обычным образом согласно писанному
документу Абрахамом Флемингом"". Существует мнение, что эта брошюра
натолкнула известного писателя на идею новой книги. Назовите этого
писателя.        "	Ответ: Артур Конан Дойл.    
"Вопрос 6: В марте 2006 года депутат Московской городской думы Николай Губенко
предложил внести ряд изменений в Кодекс об административных
правонарушениях. Помимо прочего, в тексте закона предлагалось заменить
некую стандартную формулировку на ""использование ненормативной лексики,
жаргонных слов и оборотов, сленговых выражений"". При этом депутат
сослался на статью Конституции Российской федерации, согласно которой
запрещается именно это. Что?        "	Ответ: Цензура.    
"Вопрос 8: Писатель-лингвист Лев Успенский полагает, что происхождение прозвища
одного из персонажей русской литературы никак не связано с ЭТИМ, так как
в описанные писателем времена ЭТО на востоке Европы еще не знали; ведь
только в XVIII веке ЭТО мало-мальски стало обычным около Петербурга.
Назовите упомянутого литературного персонажа.        "	Ответ: Тарас Бульба.    
"Вопрос 9: Один из наместников халифа Омара I, правивший в середине VII века, — Абу
Джафар — проводил излишне самостоятельную политику, чем вызвал
недовольство у сюзерена. Узнав о снаряженной против него карательной
экспедиции, Джафар приказал совершить некое действие. Назовите человека,
который спустя примерно двенадцать веков за участие в противоположном
действии был награжден высшими французскими, австрийскими, британскими и
итальянскими наградами.        "	Ответ: Фердинанд Лессепс.    
"Вопрос 10: В 1865 году газета ""Голос"" сообщила о двойном убийстве. К какому
религиозному направлению, согласно сообщению, принадлежал убийца?        "	Ответ: Раскольники.    
"Вопрос 2: В финале конкурса ""Евровидение-2006"" почти все участники пели
по-английски. На языке своей страны пели представители всего лишь семи
стран — Франции, Норвегии, Хорватии, Боснии и Герцеговины. Назовите
любую из трех оставшихся стран.        "	Ответ: Великобритания, Ирландия, Мальта.    
"Вопрос 3: Американское диалектологическое общество присудило некоему неологизму
титул ""слово 2006 года"". Новый глагол означает ""понизить кого-либо или
что-либо в звании или ценности"", ""исключить"", ""уволить"". Как и многие
английские глаголы, этот глагол пишется так же, как и существительное,
от которого он происходит. Напишите это существительное.        "	Ответ: Pluto.    
"Вопрос 4: Статья о замке нового типа в журнале ""Вокруг света"" называлась ""Ключ,
который нельзя потерять"". Однако оптимизм авторов, пожалуй, все же
преувеличен: ""ключ"" от замка, о котором рассказывается в статье, тоже
можно потерять. Кто потерял подобный ""ключ"" в решающем эпизоде
знаменитой книги?        "	Ответ: Фродо.    
"Вопрос 5: В своей работе Антон Леонардович был неистощим на выдумку. Найдя однажды
полуразрушенное здание, он скрылся в нем с однотипными предметами. По
свидетельству очевидцев, через некоторое время Антон Леонардович начал
выбрасывать эти предметы из разных окон. Догадавшись, о каких предметах
идет речь, назовите совершенно точно ""специальность"" этих очевидцев.        "	Ответ: (Футбольные) вратари.    
"Вопрос 7: Александр Михайлович Бутлеров известен прежде всего как выдающийся
химик. Однако в круг его интересов попадали самые разные вещи; например,
степень кандидата он получил за работу о бабочках. А его последней
работой, так сказать, прощальным поклоном, стало краткое руководство...
По какой деятельности?        "	Ответ: По разведению пчел.    
"Вопрос 8: ЭТО вряд ли можно отнести к блюдам итальянской кухни, однако два с
лишним века назад один итальянец после напряженной работы умудрился
попробовать ЭТО на вкус. Вкус оказался кисло-горьким из-за наличия в
человеческой слюне солей калия и натрия. Фамилия итальянца совпадает с
названием реки, на которой стоит порт Акосомбо. Что это за река?        "	Ответ: Вольта.    
"Вопрос 10: В известной песне из советского фильма примерно на 154-й секунде звучит
некая фраза. Если бы она была правдой, это означало бы, что
исполнительница движется со скоростью около 258.000 километров в
секунду. Про что эта песня?        "	Ответ: Про пять минут.    
"Вопрос 1: В одном романе при описании покушения на Гитлера упоминаются кислота,
которая практически разъела прОволочку детонатора, и ОН, нацеленный на
тирана. Назовите ЕГО двумя словами.        "	Ответ: Дамоклов меч.    
"Вопрос 2: В планы известного человека входил и генерал конфедератов Томас Джексон
по прозвищу ""Каменная стена"". Где этот человек осуществил свой самый
известный замысел?        "	Ответ: Гора Рашмор.    
"Вопрос 3: Журналист Петр Смирнов замечает, что Ламарк и Дарвин так и не сумели
объяснить, как в процессе эволюции ОН смог с одной стороны перебраться
на другую. На одном сайте ОН сравнивается с перископом. Назовите ЕГО
двумя словами.        "	Ответ: Глаз камбалы.    
"Вопрос 4: Цитата из исторической статьи энциклопедии: ""Ненависть к
Марии-Антуанетте, которая держит под своим ИКСОМ ИГРЕКА, продолжала
расти"". Дизайнера Маноло Бланика называют ""ИГРЕКОМ ИКСА"". ИКС и ИГРЕК
начинаются на одну букву. Назовите ИКС и ИГРЕК.        "	Ответ: Каблук, король.    
"Вопрос 6: Работа Ренаты Мухи, посвященная влиянию западноевропейской детской
литературы на русскую, называется ""ПЕРВАЯ в гостях у ВТОРОЙ"". Можно
сказать, что ПЕРВАЯ и ВТОРАЯ относятся к одному классу, но к разным
отрядам. Назовите ПЕРВУЮ и ВТОРУЮ.        "	Ответ: Матушка Гусыня, Курочка Ряба (в любом порядке).    
"Вопрос 7: Сержант из фильма Стэнли Кубрика рекомендует молодым морским пехотинцам
учиться метко стрелять. В качестве примеров для подражания сержант
называет двух человек, в молодости служивших морпехами. Один — Чарльз
Уитмен, вошедший в историю под прозвищем ""Техасский снайпер"". Назовите
второго.        "	Ответ: [Ли Харви] Освальд.    
"Вопрос 8: Натуралист Эдвард Джи усомнился, когда ему рассказали о тигре, чья длина
достигала почти четырех метров. В шутку он приписал тигру внешнюю
особенность, которая роднит тигра с другим животным. Назовите имя этого
животного.        "	Ответ: Слейпнир.    
"Вопрос 9: Сортировочная шляпа — героиня книг о Гарри Поттере — говорит, что
СОВЕРШИТ САМОУБИЙСТВО, если найдется шляпа умнее ее. Какие два слова,
начинающиеся на одну и ту же букву, мы заменили словами ""СОВЕРШИТ
САМОУБИЙСТВО""?        "	Ответ: Съест себя.    
"Вопрос 10: Гуси, как известно, разбудили спящих и спасли Рим. А вот святой Сантьяго
был не только предупрежден, но и сразил врагов волшебным мечом.
Незадолго до этого волшебный меч был ЕЮ. Назовите ЕЕ двумя словами.        "	Ответ: Шпорой петуха.    
"Вопрос 1: В архивах сохранились записи о разбиравшемся в начале XVIII века деле.
Злоумышленники, проникнув в церковь с целью грабежа, первым делом
перерезали... Ответьте как можно точнее: что именно?        "	Ответ: Колокольные веревки.    
"Вопрос 2: Впервые ""ИХ"" начали в 1977 году, и со временем выяснилось, что ""ОНИ""
четвертые. Потом ""ИХ"" начали в 1983 году, под другим названием, и ""ОНИ""
не прекратились до сих пор. Назовите ""ИХ"" двумя словами.        "	"Ответ: ""Звездные войны"".    "
"Вопрос 3: На хорватском острове КОшлюн есть монастырь, возле которого в память о
событиях, произошедших, правда, совсем в других краях, установлена
скульптурная композиция, изображающая человека и волка. Назовите имя
этого человека.        "	Ответ: Франциск.    
"Вопрос 4: Туристы, отправляющиеся в африканские пещеры КАнго, при желании могут
выбрать экскурсию по труднодоступному маршруту. Достигнув пункта
назначения, им предстоит протиснуться в чрезвычайно узкую щель, которая
называется ""Ящик Дьявола"". Какой именно ящик?        "	Ответ: Почтовый.    
"Вопрос 5: По легенде, викинг ФлОуки, поднявшись на одну из гор северного
побережья, увидел во фьорде айсберги. Какое название, вернувшись на
родину, он вскоре ввел в обиход?        "	Ответ: Исландия.    
"Вопрос 7: В польском языке для обозначения мертвой тишины существует идиома ""как
ЭТИМ засеяно"". Именно ЭТО, согласно поэту, растет в полях Фландрии, о
чем британцы вспоминают ежегодно 11 ноября. Назовите ЭТО.        "	Ответ: Мак.    
"Вопрос 8: По одной из версий, персонаж детской писательницы был ""списан"" с
рейхсминистра Германа Геринга. Персонаж и прототип немного похожи
внешне, персонаж употребляет выражения, которые любил прототип, а ИКС
персонажа — прямой намек на основную профессию Геринга. Догадавшись, о
ком идет речь, назовите слово, которое мы обозначили как ИКС.        "	Ответ: Мотор.    
"Вопрос 1: Однажды автор вопроса видел здание с вывеской ""Первый магазин на земном
шаре"". При этом здание совсем не выглядело древним. Назовите европейский
город, по которому гулял автор вопроса.        "	Ответ: Лондон.    
"Вопрос 1: Коко Шанель говорила: ""У вас не будет второго шанса, чтобы произвести
ЕГО"". Назовите ЕГО двумя словами.        "	Ответ: Первое впечатление.    
"Вопрос 2: В одной из энциклопедий говорится, что исследования и разработки — это
локомотив технического прогресса, а колесами технического прогресса
является ОНА. Более известно другое определение ЕЕ. Назовите ЕЕ.        "	Ответ: Реклама.    
"Вопрос 4: Жители Танзании называют этот географический объект ""БОле-бОле"", что
переводится как ""Медленно-медленно"" — ведь именно так танзанийцы туда
попадают. Самое известное его название упомянуто в заглавии рассказа
1936 года. Назовите автора этого рассказа.        "	Ответ: [Эрнест] Хемингуэй.    
"Вопрос 5: В 1921 году Эрнест Хемингуэй женился и уехал с женой в Париж. По мнению
биографов писателя, среди причин, побудивших его покинуть США, не
последнее место занимает закон, принятый в стране в 1919 году. Какой
именно закон?        "	"Ответ: ""Сухой"".    "
"Вопрос 6: Копия открытого в 1999 году памятника лейтенанту Гарри КОлборну и
медвежонку находится в канадском городе Виннипег. Назовите город, в
котором установлен оригинал этого памятника.        "	Ответ: Лондон.    
"Вопрос 7: Рассказывая о почти фантастических операциях, осуществлявшихся при
участии Отто Скорцени, Владимир Белов замечает (цитата): ""Можно ли
выполнять секретные задания, если твое имя уже известно всему миру?
История спецслужб знает только два подобных примера"" (конец цитаты).
Один человек — это уже упомянутый Отто Скорцени. Как зовут второго
человека?        "	Ответ: [Джеймс] Бонд.    
"Вопрос 8: Главная большая поисковая система Министерства внутренних дел — это
компьютерная технология, применяемая полицией Великобритании для
раскрытия крупных преступлений. Внедряя ее, власти, вероятно,
рассчитывали на то, что она заменит самых лучших сыщиков. Напишите шесть
букв английского алфавита, составляющих аббревиатуру названия этой
системы.        "	Ответ: HOLMES.    
"Вопрос 9: В конце XIX века американский дантист узнал об одном художнике. Назовите
то, что вскоре стал производить этот дантист.        "	Ответ: Зубную пасту в тюбиках.    
"Вопрос 10: На сайте, посвященном ИГРЕКУ, рассказывается, что за основу были взяты
фильм о Зорро, набросок Леонардо да Винчи и радио-шоу ""Тень"", персонаж
которого обладал выдающимися навыками выслеживания. Назовите ИГРЕКА.        "	Ответ: Бэтмен.    
"Вопрос 2: Творчество ОдилОна РедОна разделяется на ""ТАКОЙ"" и ""СЯКОЙ"" периоды. В
один из них он был увлечен человеческим подсознательным с его кошмарами,
для другого характерна тема бабочек, женщин на фоне пейзажа. ""ТАКИМ"" или
""СЯКИМ"" можно назвать, например, американского художника Джейкоба
Лоуренса. Какие слова заменены словами ""ТАКОЙ"" и ""СЯКОЙ""?        "	Ответ: Черный, цветной.    
"Вопрос 3: Персонаж Вудхауза был толст, и, как отмечает автор, второе издание ИКСА
этого персонажа уже вышло в свет. Назовите ИКС.        "	Ответ: Подбородок.    
"Вопрос 4: В 1976 году получил титул барона. В 1960-е годы обратился к церковной
музыке. В 1942 году, после возвращения из США, посвятил себя опере. В
1929-1933 годах занимался у Джона Айрленда. Назовите фамилию человека,
фрагменты биографии которого процитированы.        "	Ответ: Бриттен.    
"Вопрос 5: Какие только сказки не рассказывают об американской юриспруденции! Так,
один из законов Аризоны предусматривает штраф за приставание к НИМ. А в
каком произведении ОНА пристает к птицам?        "	Ответ: Лягушка-путешественница.    
"Вопрос 6: В XIX веке из вросшего в землю валуна высекли скульптуру, которая
вдохновила известного человека на образ ЕЕ. В письме в адрес детской
телепередачи один сострадательный ребенок поделился идеей сиквела, в
котором ЕЕ ЗАМОЧИЛИ. Какое слово мы заменили словом ""ЗАМОЧИЛИ""?        "	Ответ: Пришили.    
"Вопрос 7: Ученые из университета Вестминстера ранжировали фильмы, на сеансах
которых теряются ОНИ. С показателем, равным ста восьмидесяти четырем,
список возглавляет ""Сияние"". Назовите ИХ.        "	Ответ: Калории.    
"Вопрос 10: Британский дирижер БИчем не запоминал лиц, и если после концерта
слушатели интересовались, помнит ли их маэстро, он отвечал: ""Конечно.
Как поживает папа? Чем занят?"". Выкручиваться удавалось до тех пор, пока
одна молодая особа не ответила: ""Всё в порядке. Он по-прежнему ИКС"".
История датируется второй третью XX века. Назовите ИКСА.        "	Ответ: Король [Англии].    
"Вопрос 2: Один из правительственных грантов, выделенных для подготовки к
празднованию 450-летия открытия Канады, достался небольшой артистической
труппе. Так родился знаменитый сегодня во всём мире коллектив,
руководитель которого несколько лет назад даже побывал в космосе, что
достаточно символично. Напишите оригинальное название этого коллектива.        "	"Ответ: ""Cirque Du Soleil"".    "
"Вопрос 4: Во время исполнения этого произведения на фортепианном концерте персонаж
Дины Рубиной заявил, что знакомый играл его лучше. Назовите это
произведение.        "	"Ответ: ""4'33"".    "
"Вопрос 6: На фасаде одного дома после ненастья стал виден как будто живой силуэт.
В подписи к фотографии, запечатлевшей это, вспомнили название фильма,
удостоенного четырех ""Оскаров"", в том числе и за лучшую мужскую роль.
Назовите актера, удостоенного премии в указанной номинации.        "	Ответ: [Дастин] Хоффман.    
Вопрос 8: Дуплет.	"    2. По наблюдению Геннадия Малкина, ОНА не умеет петь как соловей, но
слушают ЕЕ внимательнее. Кто ОНА?        "
